ud,pc,zf,p,o,h,l,yc,cje,v,pv,tv,t,dm
160.884,2.0996,2.4051,7823.633,7646.425,7823.633,7639.34,7662.749,77687281700,23030444,23030444,84312,2025-07-17 15:00:13,000858
3.816,0.3363,0.6446,1138.682,1133.444,1138.682,1131.367,1134.866,54450251900,43804903,43804903,462905,2025-07-17 15:00:13,000860
62.699,2.3176,2.6285,2767.986,2705.144,2768.576,2697.468,2705.287,22963843200,5998093,5998093,32117,2025-07-17 15:00:13,000863
3.635,0.2613,0.5375,1394.607,1391.055,1395.211,1387.735,1390.972,22094480700,17515212,17515212,210692,2025-07-17 15:00:13,000865
24.158,0.9346,0.9419,2608.913,2593.349,2609.625,2585.279,2584.755,34531525600,44153514,44153514,3052,2025-07-17 15:04:58,000867
-20.206,-0.4814,1.0256,4177.165,4196.668,4215.92,4172.873000000001,4197.371,7083732800,8296111,8296111,295,2025-07-17 15:04:58,000869
19.175,0.4829,0.5171,3989.908,3971.24,3990.429,3969.895,3970.733,609791010300,472211056,472211056,2026170,2025-07-17 15:00:09,000888
24.164,1.6285,1.7324,1507.971,1483.506,1507.971,1482.265,1483.807,814804128400,410678241,410678241,1810300,2025-07-17 15:00:13,000891
-5.508,-0.0924,0.4799,5957.661,5955.940000000001,5966.918000000001,5938.302,5963.169,62743353800,59538219,59538219,362943,2025-07-17 15:00:09,000901
49.474,0.9231,0.9829,5409.188,5357.443,5409.188,5356.506,5359.714,1526324040000,1078747273,107874727312,6569733,2025-07-17 15:00:12,000902
23.346,0.6164,0.6794,3810.818,3785.235,3810.968,3785.235,3787.472,163068449200,72633182,72633182,137848,2025-07-17 15:00:09,000903
